,ip,isp,addr,dspeed,uspeed,ping,jitter,created,hr
0,218.209.134.*,SK Broadband,"South Korea,Gyeonggi-do,Suwon",47.37,11.48,15.0,9.85,2022-05-24 20:28:44,20.466666666666665
3,218.209.134.*,SK Broadband,"South Korea,Gyeonggi-do,Suwon",52.65,11.1,16.3,18.1,2022-05-24 20:26:27,20.433333333333334
4,218.209.134.*,SK Broadband,"South Korea,Gyeonggi-do,Suwon",48.43,11.39,15.6,6.25,2022-05-24 20:25:24,20.416666666666668
5,218.209.134.*,SK Broadband,"South Korea,Gyeonggi-do,Suwon",47.17,11.61,15.7,1.24,2022-05-24 20:24:07,20.4
6,218.209.134.*,SK Broadband,"South Korea,Gyeonggi-do,Suwon",47.5,8.75,21.6,19.93,2022-05-24 20:18:24,20.3
7,218.209.134.*,SK Broadband,"South Korea,Gyeonggi-do,Suwon",52.06,9.53,15.8,11.41,2022-05-24 19:04:05,19.066666666666666
8,218.209.134.*,SK Broadband,"South Korea,Gyeonggi-do,Suwon",61.12,11.82,13.6,10.14,2022-05-24 18:12:02,18.2
9,218.209.134.*,SK Broadband,"South Korea,Gyeonggi-do,Suwon",51.95,8.95,15.4,25.38,2022-05-24 07:24:16,7.4
10,218.209.134.*,SK Broadband,"South Korea,Gyeonggi-do,Suwon",84.61,9.72,17.0,55.76,2022-05-23 23:32:44,23.533333333333335
